Site Name,Site Score,State,normalized_county,Status,Latitude,Longitude
Landia Chemical Company,50.0,Florida,Polk,NPL Site,28.039444,-81.979167
Alaric Area Ground Water Plume,41.91,Florida,Hillsborough,NPL Site,27.964083000000002,-82.375139
Aberdeen Proving Ground (Michaelsville Landfill),31.09,Maryland,Baltimore,NPL Site,39.4606,-76.1414
Aberdeen Proving Ground (Edgewood Area),53.57,Maryland,Baltimore,NPL Site,39.395404,-76.30773
Woodlawn County Landfill,48.13,Maryland,Cecil,NPL Site,39.641669,-76.09
Bush Valley Landfill,40.3,Maryland,Harford,NPL Site,39.467219,-76.26195
"Spectron, Inc.",51.42,Maryland,Cecil,NPL Site,39.691249,-75.877778
"Ordnance Products, Inc.",32.15,Maryland,Cecil,NPL Site,39.630833,-75.923889
H.O.D. Landfill,34.68,Illinois,Lake,NPL Site,42.4753,-88.0819
Indian Head Naval Surface Warfare Center,50.0,Maryland,Charles,NPL Site,38.591389,-77.174306
Central Chemical (Hagerstown),50.0,Maryland,Washington,NPL Site,39.656667,-77.723611
Fort George G. Meade,51.44,Maryland,Anne Arundel,NPL Site,39.083333,-76.715278
Curtis Bay Coast Guard Yard,50.0,Maryland,Anne Arundel,NPL Site,39.2,-76.572694
Fort Detrick Area B Ground Water,49.52,Maryland,Frederick,NPL Site,39.434442,-77.44676899999999
Dwyer Property Ground Water Plume,50.0,Maryland,Cecil,NPL Site,39.612007,-75.844474
Sauer Dump,50.0,Maryland,Baltimore,NPL Site,39.270267,-76.45271
McKin Co.,60.97,Maine,Cumberland,NPL Site,43.8841,-70.2942
Saco Municipal Landfill,29.49,Maine,York,NPL Site,43.5302,-70.4815
Winthrop Landfill,35.62,Maine,Kennebec,NPL Site,44.275831,-69.988331
Brunswick Naval Air Station,43.38,Maine,Cumberland,NPL Site,43.90634,-69.933986
Loring Air Force Base,34.49,Maine,Aroostook,NPL Site,46.944444,-67.883888
Portsmouth Naval Shipyard,50.0,Maine,York,NPL Site,43.084167,-70.74166600000001
West Site/Hows Corners,50.0,Maine,Penobscot,NPL Site,44.740278,-69.182222
Eastern Surplus,50.0,Maine,Washington,NPL Site,45.038889000000005,-67.358333
Eastland Woolen Mill,70.71,Maine,Penobscot,NPL Site,44.921667,-69.261111
Callahan Mine,50.0,Maine,Hancock,NPL Site,44.351639,-68.810139
Leeds Metal,32.25,Maine,Androscoggin,NPL Site,44.237083,-70.08025
Keddy Mill,50.0,Maine,Cumberland,NPL Site,43.734953000000004,-70.424514
"Auto Ion Chemicals, Inc.",32.07,Michigan,Kalamazoo,NPL Site,42.293889,-85.567219
Butterworth #2 Landfill,50.31,Michigan,Kent,NPL Site,42.952219,-85.700281
"Cannelton Industries, Inc.",30.16,Michigan,Chippewa,NPL Site,46.488889,-84.393061
Chem Central,38.2,Michigan,Kent,NPL Site,42.91,-85.674161
Clare Water Supply,38.43,Michigan,Clare,NPL Site,43.815,-84.7625
Electrovoice,35.36,Michigan,Berrien,NPL Site,41.8206,-86.3545
Forest Waste Products,38.64,Michigan,Genesee,NPL Site,43.198331,-83.545831
G&H Landfill,49.09,Michigan,Macomb,NPL Site,42.664719,-83.07776899999999
Grand Traverse Overall Supply Co.,35.53,Michigan,Leelanau,NPL Site,44.7944,-85.6382
Gratiot County Landfill,0.0,Michigan,Gratiot,NPL Site,43.395,-84.595281
Hedblum Industries,37.29,Michigan,Iosco,NPL Site,44.4113,-83.3469
Ionia City Landfill,31.31,Michigan,Ionia,NPL Site,42.976669,-85.046111
K&L Avenue Landfill,38.1,Michigan,Kalamazoo,NPL Site,42.283331,-85.718889
Kentwood Landfill,35.39,Michigan,Kent,NPL Site,42.8738,-85.5906
"Liquid Disposal, Inc.",63.28,Michigan,Macomb,NPL Site,42.652781,-83.073611
McGraw Edison Corp.,33.42,Michigan,Calhoun,NPL Site,42.252219000000004,-84.73306099999999
Northernaire Plating,57.93,Michigan,Wexford,NPL Site,44.265,-85.41
"Organic Chemicals, Inc.",32.93,Michigan,Kent,NPL Site,42.9178,-85.7475
Ott/Story/Cordova Chemical Co.,53.41,Michigan,Muskegon,NPL Site,43.303331,-86.25666899999999
Packaging Corp. of America,51.91,Michigan,Manistee,NPL Site,44.226389000000005,-86.273331
Petoskey Municipal Well Field,42.68,Michigan,Emmet,NPL Site,45.376000000000005,-84.964
Rasmussen's Dump,31.8,Michigan,Livingston,NPL Site,42.4544,-83.7693
Rose Township Dump,50.92,Michigan,Oakland,NPL Site,42.720831,-83.631939
SCA Independent Landfill,34.75,Michigan,Muskegon,NPL Site,43.201111,-86.1425
Shiawassee River,31.01,Michigan,Livingston,NPL Site,42.622780999999996,-83.963611
Southwest Ottawa County Landfill,39.66,Michigan,Ottawa,NPL Site,42.820419,-86.18521899999999
Sparta Landfill,32.0,Michigan,Kent,NPL Site,43.1525,-85.68195
Spartan Chemical Co.,41.05,Michigan,Kent,NPL Site,42.915831,-85.72778100000001
Springfield Township Dump,51.97,Michigan,Oakland,NPL Site,42.7044,-83.5419
Tar Lake,48.55,Michigan,Antrim,NPL Site,44.8866,-85.073
U.S. Aviex,33.66,Michigan,Cass,NPL Site,41.8309,-86.1968
Velsicol Chemical Corp.(Michigan),52.29,Michigan,Gratiot,NPL Site,43.410561,-84.618611
Verona Well Field,46.86,Michigan,Calhoun,NPL Site,42.341669,-85.143331
Wash King Laundry,40.03,Michigan,Lake,NPL Site,43.8532,-85.853
Metamora Landfill,35.51,Michigan,Lapeer,NPL Site,42.94695,-83.274439
Sturgis Municipal Wells,42.24,Michigan,St Joseph,NPL Site,41.7988,-85.4256
"Thermo-Chem, Inc.",53.36,Michigan,Muskegon,NPL Site,43.210831,-86.136669
Torch Lake,46.72,Michigan,Houghton,NPL Site,47.169719,-88.39778100000001
North Bronson Industrial Area,33.93,Michigan,Branch,NPL Site,41.880281,-85.193339
Michigan Disposal Service (Cork Street Landfill),37.93,Michigan,Kalamazoo,NPL Site,42.2545,-85.5433
"Motor Wheel, Inc.",48.91,Michigan,Ingham,NPL Site,42.760831,-84.535
South Macomb Disposal Authority (Landfills #9 and #9A),33.67,Michigan,Macomb,NPL Site,42.682081,-82.907389
"Roto-Finish Co., Inc.",40.7,Michigan,Kalamazoo,NPL Site,42.2292,-85.5443
"H. Brown Co., Inc.",39.88,Michigan,Kent,NPL Site,43.003331,-85.67833900000001
Rockwell International Corp. (Allegan Plant),52.15,Michigan,Allegan,NPL Site,42.536669,-85.85
Lindsay Manufacturing Co.,47.91,Nebraska,Platte,NPL Site,41.701669,-97.69
Fort Wainwright,42.4,Alaska,Fairbanks North Star,NPL Site,64.82300000000001,-147.6106
Parkview Well,50.0,Nebraska,Hall,NPL Site,40.895833,-98.365
Garvey Elevator,50.0,Nebraska,Adams,NPL Site,40.563611,-98.41555600000001
West Highway 6 & Highway 281,50.0,Nebraska,Adams,NPL Site,40.5712,-98.4095
PCE Southeast Contamination ,43.33,Nebraska,York,NPL Site,40.859594,-97.580614
PCE/TCE Northeast Contamination,50.0,Nebraska,York,NPL Site,40.888636,-97.60036099999999
Iowa-Nebraska Light & Power Co,40.8,Nebraska,Madison,NPL Site,42.0323,-97.417028
Fort Riley,33.79,Kansas,Geary,NPL Site,39.166669,-96.75
Old HWY 275 and N 288th Street,50.0,Nebraska,Douglas,NPL Site,41.329091999999996,-96.367333
Auburn Road Landfill,36.3,New Hampshire,Rockingham,NPL Site,42.9302,-71.3529
Dover Municipal Landfill,36.98,New Hampshire,Strafford,NPL Site,43.2125,-70.953
Keefe Environmental Services,65.19,New Hampshire,Rockingham,NPL Site,43.024169,-71.033331
Ottati & Goss/Kingston Steel Drum,53.41,New Hampshire,Rockingham,NPL Site,42.897219,-71.080561
Somersworth Sanitary Landfill,65.56,New Hampshire,Strafford,NPL Site,43.2489,-70.8845
"Tri-County Landfill Co./Waste Management of Illinois, Inc.",42.76,Illinois,Kane,NPL Site,41.9832,-88.2712
Sylvester,0.0,New Hampshire,Hillsborough,NPL Site,42.7197,-71.523111
Tinkham Garage,43.24,New Hampshire,Rockingham,NPL Site,42.860831,-71.351111
Kearsarge Metallurgical Corp.,38.45,New Hampshire,Carroll,NPL Site,43.9721,-71.1293
Savage Municipal Water Supply,37.52,New Hampshire,Hillsborough,NPL Site,42.8418,-71.6884
South Municipal Water Supply Well,35.64,New Hampshire,Hillsborough,NPL Site,42.8489,-71.9468
Coakley Landfill,29.16,New Hampshire,Rockingham,NPL Site,43.001111,-70.817219
Tibbetts Road,41.09,New Hampshire,Strafford,NPL Site,43.18,-71.0347
Mottolo Pig Farm,40.7,New Hampshire,Rockingham,NPL Site,42.989581,-71.17318900000001
Fletcher's Paint Works & Storage,35.39,New Hampshire,Hillsborough,NPL Site,42.8358,-71.6554
Pease Air Force Base,39.42,New Hampshire,Rockingham,NPL Site,43.080169,-70.82125
New Hampshire Plating Co.,50.0,New Hampshire,Hillsborough,NPL Site,42.855833000000004,-71.488888
Beede Waste Oil,70.71,New Hampshire,Rockingham,NPL Site,42.855075,-71.105889
Troy Mills Landfill,50.0,New Hampshire,Cheshire,NPL Site,42.802583,-72.186944
Chlor-Alkali Facility (Former),30.54,New Hampshire,Coos,NPL Site,44.479194,-71.167194
Collins & Aikman Plant (Former),50.0,New Hampshire,Strafford,NPL Site,43.372,-71.05875
A. O. Polymer,28.91,New Jersey,Sussex,NPL Site,41.04805,-74.63
American Cyanamid Co.,50.28,New Jersey,Somerset,NPL Site,40.555561,-74.55945
Bog Creek Farm,43.23,New Jersey,Monmouth,NPL Site,40.150831,-74.161111
Brick Township Landfill,58.13,New Jersey,Ocean,NPL Site,40.1098,-74.1311
Bridgeport Rental & Oil Services,60.73,New Jersey,Gloucester,NPL Site,39.801669,-75.32166099999999
Burnt Fly Bog,59.16,New Jersey,Middlesex,NPL Site,40.375,-74.279169
Caldwell Trucking Co.,58.3,New Jersey,Essex,NPL Site,40.876389,-74.271389
Chemical Control,47.13,New Jersey,Union,NPL Site,40.6432,-74.1935
"Chemsol, Inc.",42.69,New Jersey,Middlesex,NPL Site,40.5625,-74.443339
Combe Fill South Landfill,45.22,New Jersey,Morris,NPL Site,40.771669,-74.738331
CPS/Madison Industries,69.73,New Jersey,Middlesex,NPL Site,40.434439000000005,-74.32776899999999
D'Imperio Property,55.79,New Jersey,Atlantic,NPL Site,39.454439,-74.658889
Dover Municipal Well 4,28.9,New Jersey,Morris,NPL Site,40.8858,-74.5423
Ellis Property,34.62,New Jersey,Burlington,NPL Site,39.905,-74.864719
Evor Phillips Leasing,36.64,New Jersey,Middlesex,NPL Site,40.4375,-74.325
Fair Lawn Well Field,42.49,New Jersey,Bergen,NPL Site,40.9375,-74.131939
GEMS Landfill,68.53,New Jersey,Camden,NPL Site,39.77945,-75.018889
Goose Farm,47.71,New Jersey,Ocean,NPL Site,40.09555,-74.4975
"Hercules, Inc. (Gibbstown Plant)",40.36,New Jersey,Gloucester,NPL Site,39.838889,-75.277781
"Imperial Oil Co., Inc./Champion Chemicals",33.87,New Jersey,Monmouth,NPL Site,40.383889,-74.24583100000001
JIS Landfill,45.14,New Jersey,Middlesex,NPL Site,40.365831,-74.465281
Kin-Buc Landfill,50.64,New Jersey,Middlesex,NPL Site,40.4891,-74.3785
King of Prussia,47.19,New Jersey,Camden,NPL Site,39.62695,-74.889439
Helen Kramer Landfill,72.66,New Jersey,Gloucester,NPL Site,39.7801,-75.2003
Lang Property,48.89,New Jersey,Burlington,NPL Site,39.929161,-74.49445
Lipari Landfill,75.6,New Jersey,Gloucester,NPL Site,39.720281,-75.14193900000001
Lone Pine Landfill,66.33,New Jersey,Monmouth,NPL Site,40.202781,-74.333339
Maywood Chemical Co.,51.19,New Jersey,Bergen,NPL Site,40.8964,-74.0693
Metaltec/Aerosystems,48.95,New Jersey,Sussex,NPL Site,41.109719,-74.599719
Montgomery Township Housing Development,37.93,New Jersey,Somerset,NPL Site,40.408331,-74.64416899999999
Myers Property,33.83,New Jersey,Hunterdon,NPL Site,40.595,-74.9404
NL Industries,52.96,New Jersey,Salem,NPL Site,39.758061,-75.424719
PJP Landfill,28.73,New Jersey,Hudson,NPL Site,40.734719,-74.085561
Price Landfill,0.0,New Jersey,Atlantic,NPL Site,39.415281,-74.52695
Reich Farms,53.48,New Jersey,Ocean,NPL Site,40.0106,-74.2149
Rockaway Borough Well Field,42.34,New Jersey,Morris,NPL Site,40.905831,-74.515561
Rockaway Township Wells,28.9,New Jersey,Morris,NPL Site,40.913331,-74.499169
Rocky Hill Municipal Well,37.93,New Jersey,Somerset,NPL Site,40.401669,-74.6475
Roebling Steel Co.,41.02,New Jersey,Burlington,NPL Site,40.120831,-74.770839
Scientific Chemical Processing,55.97,New Jersey,Bergen,NPL Site,40.82454,-74.074329
Sharkey Landfill,48.85,New Jersey,Morris,NPL Site,40.8501,-74.3454
Swope Oil & Chemical Co.,35.68,New Jersey,Camden,NPL Site,39.9886,-75.0347
Syncon Resins,43.43,New Jersey,Hudson,NPL Site,40.737781,-74.114719
Ciba-Geigy Corp.,50.33,New Jersey,Ocean,NPL Site,39.9867,-74.2363
Universal Oil Products (Chemical Division),54.63,New Jersey,Bergen,NPL Site,40.83,-74.088889
U.S. Radium Corp.,37.79,New Jersey,Essex,NPL Site,40.781389000000004,-74.228611
Williams Property,40.45,New Jersey,Cape May,NPL Site,39.1173,-74.8004
Woodland Route 72 Dump,31.17,New Jersey,Burlington,NPL Site,39.821669,-74.447781
"Chemical Leaman Tank Lines, Inc.",47.53,New Jersey,Gloucester,NPL Site,39.798331,-75.33278100000001
De Rewal Chemical Co.,35.72,New Jersey,Hunterdon,NPL Site,40.5162,-75.0614
Diamond Alkali Co.,35.4,New Jersey,Essex,NPL Site,40.739719,-74.136111
Ewan Property,50.19,New Jersey,Burlington,NPL Site,39.802781,-74.71943900000001
Elmendorf Air Force Base,45.91,Alaska,Anchorage,NPL Site,61.254169,-149.7917
"Southern Solvents, Inc.",50.0,Florida,Hillsborough,NPL Site,28.040556,-82.510278
Parsons Casket Hardware Co.,55.58,Illinois,Boone,NPL Site,42.2692,-88.836
57th and North Broadway Streets Site,50.0,Kansas,Sedgwick,NPL Site,37.775,-97.31666700000001
Eielson Air Force Base,48.14,Alaska,Fairbanks North Star,NPL Site,64.67145,-147.0492
Adak Naval Air Station,51.37,Alaska,Aleutians West,NPL Site,51.8775,-176.6525
Fort Richardson (USARMY),50.0,Alaska,Anchorage,NPL Site,61.25833299999999,-149.7
Triana/Tennessee River,61.42,Alabama,Limestone,NPL Site,34.508888,-86.638194
Ciba-Geigy Corp. (McIntosh Plant),53.42,Alabama,Washington,NPL Site,31.279,-87.9955
Olin Corp. (McIntosh Plant),39.71,Alabama,Washington,NPL Site,31.263889000000002,-87.99445
Stauffer Chemical Co. (LeMoyne Plant),32.34,Alabama,Mobile,NPL Site,30.969439,-88.0175
Stauffer Chemical Co. (Cold Creek Plant),46.77,Alabama,Mobile,NPL Site,30.975,-88.021389
Alabama Army Ammunition Plant,36.83,Alabama,Talladega,NPL Site,33.3381,-86.3268
Interstate Lead Co. (ILCO),42.86,Alabama,Jefferson,NPL Site,33.688889,-86.633333
T.H. Agriculture & Nutrition Co. (Montgomery Plant),44.46,Alabama,Montgomery,NPL Site,32.3761,-86.3791
Redstone Arsenal (USARMY/NASA),50.0,Alabama,Madison,NPL Site,34.646944,-86.673055
American Brass,55.61,Alabama,Henry,NPL Site,31.325,-85.404167
"Alabama Plating Company, Inc.",30.2,Alabama,Shelby,NPL Site,33.399722,-86.405
Anniston Army Depot (Southeast Industrial Area),51.91,Alabama,Calhoun,NPL Site,33.659439,-85.96943900000001
Mid-South Wood Products,45.87,Arkansas,Polk,NPL Site,34.5697,-94.2566
Midland Products,30.77,Arkansas,Yell,NPL Site,35.025,-93.203889
"Vertac, Inc.",65.46,Arkansas,Pulaski,NPL Site,34.878,-92.1312
"Arkwood, Inc.",28.95,Arkansas,Boone,NPL Site,36.445,-93.1964
"Popile, Inc.",50.03,Arkansas,Union,NPL Site,33.1825,-92.673333
Mountain Pine Pressure Treating,41.93,Arkansas,Yell,NPL Site,34.984167,-93.302222
Ouachita Nevada Wood Treater,50.0,Arkansas,Ouachita,NPL Site,33.759453,-93.104258
Cedar Chemical Corporation,0.0,Arkansas,Phillips,NPL Site,34.5206,-90.6517
MacMillan Ring Free Oil,50.0,Arkansas,Union,NPL Site,33.30836,-92.65688
Indian Bend Wash Area,42.24,Arizona,Maricopa,NPL Site,33.466669,-111.9083
Phoenix-Goodyear Airport Area,45.91,Arizona,Maricopa,NPL Site,33.429719,-112.3653
Tucson International Airport Area,57.8,Arizona,Pima,NPL Site,32.105561,-110.9333
Hassayampa Landfill,42.79,Arizona,Maricopa,NPL Site,33.368331,-112.7483
Yuma Marine Corps Air Station,32.24,Arizona,Yuma,NPL Site,32.654581,-114.5888
Williams Air Force Base,37.93,Arizona,Maricopa,NPL Site,33.30695,-111.6519
"Motorola, Inc. (52nd Street Plant)",40.83,Arizona,Maricopa,NPL Site,33.461669,-111.9708
Apache Powder Co.,39.09,Arizona,Cochise,NPL Site,31.88,-110.24
Iron King Mine - Humboldt Smelter,52.69,Arizona,Yavapai,NPL Site,34.5,-112.25
Aerojet General Corp.,54.63,California,Sacramento,NPL Site,38.608331,-121.2
Coast Wood Preserving,44.73,California,Mendocino,NPL Site,39.1125,-123.193
Iron Mountain Mine,56.16,California,Shasta,NPL Site,40.671669,-122.5278
McColl,41.77,California,Orange,NPL Site,33.8953,-117.9712
"Purity Oil Sales, Inc.",43.27,California,Fresno,NPL Site,36.6874,-119.7467
Selma Treating Co.,48.83,California,Fresno,NPL Site,36.556669,-119.6017
Stringfellow,0.0,California,Riverside,NPL Site,34.023056,-117.45833
Westinghouse Electric Corp. (Sunnyvale Plant),39.93,California,Santa Clara,NPL Site,37.3787,-122.0225
"Valley Wood Preserving, Inc.",32.01,California,Stanislaus,NPL Site,37.4727,-120.8239
"Koppers Co., Inc. (Oroville Plant)",33.73,California,Butte,NPL Site,39.470831,-121.5643
McClellan Air Force Base (Ground Water Contamination),57.93,California,Sacramento,NPL Site,38.66,-121.3994
Atlas Asbestos Mine,45.55,California,Fresno,NPL Site,36.321669,-120.5867
San Gabriel Valley (Area 1),42.24,California,Los Angeles,NPL Site,34.125,-118.0
San Gabriel Valley (Area 2),42.24,California,Los Angeles,NPL Site,34.073611,-117.9361
San Gabriel Valley (Area 3),28.9,California,Los Angeles,NPL Site,34.1,-118.125
San Gabriel Valley (Area 4),28.9,California,Los Angeles,NPL Site,34.016669,-117.9583
South Bay Asbestos Area,44.68,California,Santa Clara,NPL Site,37.429860999999995,-121.9811
"Operating Industries, Inc., Landfill",57.22,California,Los Angeles,NPL Site,34.033333,-118.105556
San Fernando Valley (Area 1),42.24,California,Los Angeles,NPL Site,34.19,-118.3514
San Fernando Valley (Area 2),42.24,California,Los Angeles,NPL Site,34.163139,-118.286
San Fernando Valley (Area 4),35.57,California,Los Angeles,NPL Site,34.112080999999996,-118.2539
Montrose Chemical Corp.,32.1,California,Los Angeles,NPL Site,33.848331,-118.2983
Sharpe Army Depot,42.24,California,San Joaquin,NPL Site,37.829169,-121.2672
Norton Air Force Base,39.65,California,San Bernardino,NPL Site,34.098061,-117.2372
Castle Air Force Base (6 Areas),37.93,California,Merced,NPL Site,37.367360999999995,-120.5636
Mather Air Force Base,28.9,California,Sacramento,NPL Site,38.55695,-121.2972
Lawrence Livermore Laboratory (USDOE),42.24,California,Alameda,NPL Site,37.688061,-121.7047
Beckman Instruments (Porterville Plant),34.21,California,Tulare,NPL Site,36.049,-119.0201
"Advanced Micro Devices, Inc.",37.93,California,Santa Clara,NPL Site,37.3825,-122.0086
Applied Materials,31.94,California,Santa Clara,NPL Site,37.3777,-121.9777
Intel Magnetics,31.94,California,Santa Clara,NPL Site,37.3756,-121.9801
Monolithic Memories,35.57,California,Santa Clara,NPL Site,37.3816,-121.9968
National Semiconductor Corp.,35.57,California,Santa Clara,NPL Site,37.375281,-121.9989
"United Metals, Inc.",33.73,Florida,Jackson,NPL Site,30.685833000000002,-85.168056
"City Industries, Inc.",32.0,Florida,Orange,NPL Site,28.601389,-81.3
Flash Cleaners,50.0,Florida,Broward,NPL Site,26.2824,-80.0969
Arkla Terra Property,50.0,Florida,Hillsborough,NPL Site,28.057778000000003,-82.3175
Raleigh Street Dump,50.0,Florida,Hillsborough,NPL Site,27.914416999999997,-82.410861
General Dynamics Longwood,50.0,Florida,Seminole,NPL Site,28.716620000000002,-81.32122
JJ Seifert Machine,50.0,Florida,Hillsborough,NPL Site,27.678611,-82.477778
Kerr-McGee Chemical Corp - Jacksonville,70.71,Florida,Duval,NPL Site,30.3442,-81.6265
Sanford Dry Cleaners,50.0,Florida,Seminole,NPL Site,28.811217,-81.265606
Continental Cleaners,50.0,Florida,Miami-Dade,NPL Site,25.831842,-80.210178
Fairfax St. Wood Treaters,50.0,Florida,Duval,NPL Site,30.354091999999998,-81.68639399999999
Post and Lumber Preserving Co. Inc.,36.33,Florida,Gadsden,NPL Site,30.592471999999997,-84.510081
Hercules 009 Landfill,52.58,Georgia,Glynn,NPL Site,31.2049,-81.4858
Robins Air Force Base (Landfill #4/Sludge Lagoon),51.66,Georgia,Houston,NPL Site,32.619983000000005,-83.582075
"Woolfolk Chemical Works, Inc.",42.24,Georgia,Peach,NPL Site,32.549580999999996,-83.88416099999999
Mathis Brothers Landfill (South Marble Top Road),30.78,Georgia,Walker,NPL Site,34.797781,-85.377781
Diamond Shamrock Corp. Landfill,35.6,Georgia,Polk,NPL Site,34.0207,-85.2717
T.H. Agriculture & Nutrition Co. (Albany Plant),40.93,Georgia,Dougherty,NPL Site,31.617361,-84.181661
Marzone Inc./Chevron Chemical Co.,30.26,Georgia,Tift,NPL Site,31.4289,-83.5017
Firestone Tire & Rubber Co. (Albany Plant),30.08,Georgia,Dougherty,NPL Site,31.565831,-84.053889
Marine Corps Logistics Base,44.65,Georgia,Dougherty,NPL Site,31.557219,-84.055
LCP Chemicals Georgia,0.0,Georgia,Glynn,NPL Site,31.189444,-81.508333
Brunswick Wood Preserving,54.49,Georgia,Glynn,NPL Site,31.242221999999998,-81.528056
Camilla Wood Preserving Company,50.0,Georgia,Mitchell,NPL Site,31.2225,-84.20333000000001
Peach Orchard Road PCE Ground Water Plume,50.0,Georgia,Richmond,NPL Site,33.421178000000005,-82.015139
Alternate Energy Resources,50.0,Georgia,Richmond,NPL Site,33.454194,-82.03694399999999
Armstrong World Industries,50.0,Georgia,Bibb,NPL Site,32.773497,-83.6516
Macon Naval Ordnance Plant,48.97,Georgia,Bibb,NPL Site,32.777658,-83.639675
Ordot Landfill,0.0,Guam,Guam,NPL Site,13.439169,144.7474
Andersen Air Force Base,50.0,Guam,Guam,NPL Site,13.572916000000001,144.89736100000002
Pearl Harbor Naval Complex,70.82,Hawaii,Honolulu,NPL Site,21.388889000000002,-157.98333300000002
Del Monte Corp. (Oahu Plantation),50.0,Hawaii,Honolulu,NPL Site,21.458333,-158.066667
Naval Computer and Telecommunications Area Master Station Eastern Pacific,50.0,Hawaii,Honolulu,NPL Site,21.519026999999998,-158.005138
Des Moines TCE,42.28,Iowa,Polk,NPL Site,41.5781,-93.63600000000001
Midwest Manufacturing/North Farm,32.04,Iowa,Jasper,NPL Site,41.746811,-92.893061
Vogel Paint & Wax Co.,31.45,Iowa,Sioux,NPL Site,42.934439000000005,-96.193339
Lawrence Todtz Farm,52.11,Iowa,Clinton,NPL Site,41.787781,-90.29263900000001
Shaw Avenue Dump,30.01,Iowa,Floyd,NPL Site,43.0563,-92.6631
Fairfield Coal Gasification Plant,38.05,Iowa,Jefferson,NPL Site,41.0062,-91.9724
Peoples Natural Gas Co.,46.24,Iowa,Dubuque,NPL Site,42.505281,-90.658889
Iowa Army Ammunition Plant,29.73,Iowa,Des Moines,NPL Site,40.808331,-91.246669
Mason City Coal Gasification Plant,69.33,Iowa,Cerro Gordo,NPL Site,43.1476,-93.1992
Railroad Avenue Groundwater Contamination,50.0,Iowa,Polk,NPL Site,41.578333,-93.70222199999999
PCE Former Dry Cleaner,50.0,Iowa,Cass,NPL Site,41.403717,-94.99576400000001
Bunker Hill Mining & Metallurgical Complex,54.76,Idaho,Shoshone,NPL Site,47.543061,-116.1617
Eastern Michaud Flats Contamination,57.8,Idaho,Bannock,NPL Site,42.901111,-112.5225
Idaho National Engineering Laboratory (USDOE),51.91,Idaho,Bingham,NPL Site,43.529389,-112.9435
Mountain Home Air Force Base,57.8,Idaho,Elmore,NPL Site,43.04805,-115.8647
Monsanto Chemical Co. (Soda Springs Plant),54.77,Idaho,Caribou,NPL Site,42.687031,-111.5878
Kerr-McGee Chemical Corp. (Soda Springs Plant),51.91,Idaho,Caribou,NPL Site,42.687219,-111.5736
"Acme Solvents Reclaiming, Inc. (Morristown Plant)",31.98,Illinois,Winnebago,NPL Site,42.1577,-89.0455
Byron Salvage Yard,33.93,Illinois,Ogle,NPL Site,42.081669,-89.295831
Cross Brothers Pail Recycling (Pembroke),42.04,Illinois,Kankakee,NPL Site,41.0909,-87.5893
Galesburg/Koppers Co.,34.78,Illinois,Knox,NPL Site,40.895831,-90.395839
Johns-Manville Corp.,38.2,Illinois,Lake,NPL Site,42.386669,-87.811669
LaSalle Electric Utilities,42.06,Illinois,La Salle,NPL Site,41.354169,-89.0975
Outboard Marine Corp.,0.0,Illinois,Lake,NPL Site,42.365281,-87.821111
Velsicol Chemical Corp. (Marshall Plant),48.78,Illinois,Clark,NPL Site,39.410831,-87.699169
Wauconda Sand & Gravel,53.42,Illinois,Lake,NPL Site,42.281389000000004,-88.1375
Kerr-McGee (Kress Creek/West Branch of DuPage River),39.05,Illinois,Du Page,NPL Site,41.863611,-88.2093
Yeoman Creek Landfill,33.23,Illinois,Lake,NPL Site,42.388889,-87.848611
"Chemical Commodities, Inc.",50.0,Kansas,Johnson,NPL Site,38.878194,-94.80555600000001
Kerr-McGee (Residential Areas),38.15,Illinois,Du Page,NPL Site,41.878333000000005,-88.2075
Sangamo Electric Dump/Crab Orchard National Wildlife Refuge (USDOI),43.7,Illinois,Will,NPL Site,37.693194,-89.01472199999999
NL Industries/Taracorp Lead Smelter,38.11,Illinois,Madison,NPL Site,38.695,-90.158331
Ace Services,50.0,Kansas,Thomas,NPL Site,39.396944,-101.039167
Wright Ground Water Contamination,50.0,Kansas,Ford,NPL Site,37.780556,-99.888889
"Plating, Inc.",50.0,Kansas,Barton,NPL Site,38.346542,-98.84946
Former United Zinc & Associated Smelters,50.0,Kansas,Allen,NPL Site,37.92228,-95.3859
Airco,33.29,Kentucky,Marshall,NPL Site,37.0496,-88.3225
B.F. Goodrich,33.01,Kentucky,Marshall,NPL Site,37.0503,-88.3234
Distler Brickyard,44.77,Kentucky,Hardin,NPL Site,37.989719,-85.951389
Distler Farm,34.62,Kentucky,Jefferson,NPL Site,38.006939,-85.931111
Maxey Flats Nuclear Disposal,31.71,Kentucky,Fleming,NPL Site,38.2608,-83.5692
Smith's Farm,32.69,Kentucky,Bullitt,NPL Site,38.0375,-85.733331
"Green River Disposal, Inc.",29.12,Kentucky,Daviess,NPL Site,37.88945,-86.973611
"Caldwell Lace Leather Co., Inc.",34.21,Kentucky,Logan,NPL Site,36.8725,-86.74638900000001
Brantley Landfill,52.73,Kentucky,McLean,NPL Site,37.44625,-87.156111
Fort Hartford Coal Co. Stone Quarry,43.84,Kentucky,Ohio,NPL Site,37.538889000000005,-86.70276899999999
Tri-City Disposal Co.,33.82,Kentucky,Bullitt,NPL Site,38.047781,-85.768331
National Electric Coil Co./Cooper Industries,50.0,Kentucky,Harlan,NPL Site,36.843889000000004,-83.37138900000001
Paducah Gaseous Diffusion Plant (USDOE),56.95,Kentucky,McCracken,NPL Site,37.120138,-88.811111
